obs,gnut,male,land,labor,seed,agrochem,usehirlab,imprseed,earlypln,latepln,soil3,extens,socnet,farmtyp3,farmtyp2,dist1,dist2
591,3.988984108,0,-1.609437943,2.75091815,2.302585125,0,0,0,0,0,0,0,1,0,0,1,0
981,5.288267136,1,-1.609437943,4.028578758,2.995732307,0,0,1,0,0,0,0,1,1,0,0,1
1413,4.499809742,1,-1.609437943,4.22176981,2.708050251,0,0,0,0,0,1,0,1,0,1,0,1
740,3.988984108,0,-1.609437943,3.568743706,0,0,0,1,0,0,0,0,1,1,0,0,0
1208,5.075173855,1,-2.302585125,3.421979904,1.098612309,0,0,0,0,1,0,0,0,0,1,0,0
1151,3.583518982,1,-1.609437943,4.076587677,2.302585125,0,0,1,1,0,0,0,0,1,0,0,1
78,4.276666164,0,-2.302585125,3.501223564,0,0,0,1,0,1,0,0,0,0,0,0,0
142,4.143134594,0,-1.609437943,2.798439264,2.302585125,0,0,0,0,0,0,1,1,1,0,1,0
1396,3.988984108,1,-1.609437943,3.19429636,1.098612309,0,0,0,1,0,1,0,0,0,0,1,0
45,4.969813347,0,-1.609437943,3.636164188,1.609437943,0,1,1,0,0,0,1,1,0,0,0,0
859,4.969813347,1,-1.609437943,3.383440733,2.995732307,0,0,0,0,0,0,0,0,0,1,1,0
916,3.33220458,1,-1.609437943,3.175801277,2.079441547,0,0,0,0,0,0,1,1,0,0,0,1
1419,4.836281776,1,-1.609437943,4.614308357,1.386294365,0,1,1,0,0,0,1,1,1,0,0,0
699,3.988984108,0,-2.302585125,3.318902254,2.079441547,0,0,1,0,0,1,0,1,1,0,1,0
380,4.276666164,0,-2.525728703,3.623594046,1.609437943,0,0,0,0,0,1,0,0,0,0,1,0
689,4.276666164,0,-1.609437943,3.88205862,3.178053856,0,0,1,0,0,0,0,1,0,0,0,0
72,5.298317432,0,-1.609437943,3.666889429,2.995732307,0,1,0,0,0,1,0,1,1,0,1,0
132,4.836281776,0,-1.609437943,3.392291307,2.079441547,0,0,0,0,0,1,0,1,1,0,1,0
315,5.52146101,0,-1.609437943,4.479720116,2.890371799,0,1,1,0,0,1,0,1,0,1,0,1
680,5.192956924,0,-1.609437943,3.538579702,2.708050251,0,1,0,0,0,1,1,1,1,0,1,0
229,5.087596416,0,-1.609437943,3.154102564,2.708050251,0,0,0,1,0,0,1,1,0,1,0,1
1244,3.583518982,1,-1.609437943,3.444065332,2.197224617,0,0,1,0,0,0,0,1,0,0,0,1
388,5.087596416,0,-1.609437943,3.829727888,1.791759491,0,1,0,0,0,0,1,1,0,1,1,0
331,5.703782558,0,-1.609437943,4.2046628,2.197224617,0,1,0,0,0,0,0,1,1,0,1,0
1661,5.087596416,1,-1.609437943,4.375543118,1.791759491,0,0,1,0,0,1,0,1,1,0,0,1
356,4.836281776,0,-1.609437943,2.745795488,2.302585125,0,0,1,0,0,1,0,0,0,1,0,1
1649,5.480638981,1,-1.609437943,3.612268448,1.609437943,0,0,0,0,0,1,0,0,0,0,1,0
106,5.857933044,0,-1.609437943,2.963519096,1.791759491,0,0,1,1,0,1,0,0,0,1,0,1
68,3.988984108,0,-1.609437943,4.268129826,2.708050251,0,0,0,0,1,0,0,1,1,0,0,1
1178,4.276666164,1,-1.609437943,4.011107922,1.791759491,0,0,1,0,0,0,1,1,1,0,0,1
17,5.529428959,0,-1.609437943,3.386117697,2.302585125,0,1,0,1,0,0,0,1,0,1,1,0
1173,5.087596416,1,-1.609437943,4.528008461,2.484906673,0,0,0,0,0,0,0,0,0,0,0,1
1096,5.662960529,1,-1.609437943,4.938967705,3.295836926,0,1,1,0,0,1,1,1,1,0,0,0
431,4.143134594,0,-3.036554337,2.439996481,1.386294365,0,0,1,0,0,1,0,0,0,0,1,0
818,5.654592037,1,-2.302585125,3.03946209,2.079441547,0,1,1,0,0,1,1,1,1,0,1,0
988,4.969813347,1,-1.609437943,3.278125525,2.302585125,0,1,0,0,0,0,1,0,0,1,1,0
404,5.501258373,0,-1.609437943,3.905099154,2.995732307,0,0,1,1,0,0,1,1,0,0,0,1
1608,5.375278473,1,-1.609437943,4.457389355,2.995732307,7.20786047,1,0,0,0,0,1,1,1,0,1,0
442,5.123963833,0,-1.609437943,3.633313894,1.098612309,0,1,1,1,0,0,0,0,0,1,0,1
21,5.087596416,0,-1.203972816,4.395041466,3.178053856,0,0,1,0,1,1,0,1,1,0,0,0
1118,4.499809742,1,-1.609437943,3.346177816,2.302585125,0,1,1,0,0,0,0,1,1,0,0,1
1693,4.510859489,1,-1.609437943,3.526301622,2.484906673,0,0,0,0,0,1,0,0,0,1,0,1
149,5.087596416,0,-1.203972816,4.403139591,2.302585125,0,0,0,1,0,0,0,0,0,0,0,1
1588,5.662960529,1,-1.609437943,3.797218084,2.890371799,0,0,0,0,0,1,0,1,1,0,0,1
1497,5.480638981,1,-1.609437943,3.568743706,2.484906673,0,0,0,0,0,0,0,1,1,0,0,1
1424,5.010635376,1,-2.302585125,2.55676198,1.791759491,0,0,0,0,0,0,0,0,1,0,1,0
719,4.68213129,0,-2.120263577,3.817052841,1.791759491,0,0,0,0,0,1,0,1,0,1,1,0
946,4.499809742,1,-1.609437943,3.252968073,2.302585125,0,0,1,0,0,1,0,0,0,1,1,0
1356,5.241746902,1,-1.203972816,3.82972765,2.397895336,0,0,0,0,0,1,1,1,1,0,1,0
611,4.499809742,0,-2.302585125,4.002411842,1.609437943,0,0,0,0,0,1,0,0,0,0,1,0
927,3.988984108,1,-1.609437943,3.746346235,1.791759491,0,0,0,0,0,0,0,1,0,0,0,1
393,4.905274868,0,-1.609437943,3.299681425,2.302585125,0,1,0,1,0,1,1,1,1,0,1,0
814,4.68213129,0,-1.609437943,4.096475601,2.890371799,8.031385422,1,1,0,0,0,0,0,0,0,0,0
1394,5.780743599,1,-1.609437943,3.977211237,3.218875885,0,1,1,0,1,1,1,1,1,0,0,0
1586,4.68213129,1,-1.609437943,3.555290937,2.302585125,0,0,1,1,0,1,0,0,0,1,1,0
555,3.583518982,0,-1.609437943,3.383372784,2.995732307,0,0,1,0,0,0,0,1,1,0,0,1
210,5.662960529,0,-1.609437943,4.172755241,1.791759491,0,1,0,0,0,0,0,1,1,0,0,1
374,5.59842205,0,-1.609437943,4.348521709,2.302585125,0,0,0,0,0,1,1,1,1,0,1,0
826,4.276666164,1,-1.609437943,3.606584311,1.609437943,0,0,0,0,0,1,0,0,1,0,1,0
